transaction_id,posted_date,amount,record_status
1001,1/3/2024,50000,Matched
1002,1/4/2024,74000,Unmatched
1003,1/5/2024,62000,Matched
1004,1/7/2024,88000,Unmatched
1005,1/7/2024,45000,Matched
1006,1/8/2024,93000,Matched
1007,1/9/2024,67000,Matched
1008,1/11/2024,51000,Unmatched
1009,1/11/2024,71000,Unmatched
1010,1/12/2024,86000,Matched
1011,1/14/2024,49000,Matched
1012,1/14/2024,56000,Unmatched
1013,1/15/2024,61000,Matched
1014,1/17/2024,77000,Matched
1015,1/18/2024,83000,Matched
1016,1/18/2024,52000,Matched
1017,1/19/2024,68000,Unmatched
1018,1/20/2024,74000,Matched
1019,1/22/2024,91000,Unmatched
1020,1/22/2024,47000,Matched
1021,1/24/2024,56000,Matched
1022,1/24/2024,69000,Unmatched
1023,1/25/2024,72000,Matched
1024,1/27/2024,85000,Unmatched
1025,1/27/2024,60000,Matched
1026,1/29/2024,92000,Matched
1027,1/29/2024,48000,Matched
1028,1/30/2024,53000,Matched
1029,2/1/2024,76000,Unmatched
1030,2/1/2024,89000,Matched
