transaction_id,trade_date,settlement_date,amount,currency,counterparty,transaction_type,status
1001,1/1/2024,1/3/2024,50000,USD,JPM,Buy,Processed
1002,1/2/2024,1/4/2024,75000,USD,CITI,Sell,Processed
1003,1/3/2024,1/5/2024,62000,EUR,HSBC,Buy,Failed
1004,1/4/2024,1/6/2024,88000,USD,BARCLAYS,Buy,Processed
1005,1/5/2024,1/7/2024,45000,EUR,DB,Sell,Processed
1006,1/6/2024,1/8/2024,93000,USD,JPM,Buy,Processed
1007,1/7/2024,1/9/2024,67000,USD,CITI,Sell,Processed
1008,1/8/2024,1/10/2024,51000,EUR,HSBC,Buy,Processed
1009,1/9/2024,1/11/2024,72000,USD,BARCLAYS,Sell,Failed
1010,1/10/2024,1/12/2024,86000,USD,DB,Buy,Processed
1011,1/11/2024,1/13/2024,49000,EUR,JPM,Sell,Processed
1012,1/12/2024,1/14/2024,55000,USD,CITI,Buy,Processed
1013,1/13/2024,1/15/2024,61000,EUR,HSBC,Sell,Processed
1014,1/14/2024,1/16/2024,77000,USD,BARCLAYS,Buy,Processed
1015,1/15/2024,1/17/2024,83000,USD,DB,Sell,Processed
1016,1/16/2024,1/18/2024,52000,EUR,JPM,Buy,Processed
1017,1/17/2024,1/19/2024,69000,USD,CITI,Sell,Failed
1018,1/18/2024,1/20/2024,74000,EUR,HSBC,Buy,Processed
1019,1/19/2024,1/21/2024,91000,USD,BARCLAYS,Sell,Processed
1020,1/20/2024,1/22/2024,47000,EUR,DB,Buy,Processed
1021,1/21/2024,1/23/2024,56000,USD,JPM,Sell,Processed
1022,1/22/2024,1/24/2024,68000,EUR,CITI,Buy,Processed
1023,1/23/2024,1/25/2024,72000,USD,HSBC,Sell,Processed
1024,1/24/2024,1/26/2024,85000,USD,BARCLAYS,Buy,Failed
1025,1/25/2024,1/27/2024,60000,EUR,DB,Sell,Processed
1026,1/26/2024,1/28/2024,92000,USD,JPM,Buy,Processed
1027,1/27/2024,1/29/2024,48000,EUR,CITI,Sell,Processed
1028,1/28/2024,1/30/2024,53000,USD,HSBC,Buy,Processed
1029,1/29/2024,1/31/2024,76000,USD,BARCLAYS,Sell,Processed
1030,1/30/2024,2/1/2024,89000,USD,DB,Buy,Processed
