transaction_id,posted_date,amount,record_status
1001,2024-01-03,50000,Matched
1002,2024-01-04,75000,Matched
1003,2024-01-06,62000,Unmatched
1005,2024-01-07,45000,Matched
1006,2024-01-08,93000,Matched
1007,2024-01-10,67000,Unmatched
1008,2024-01-10,51000,Matched
1009,2024-01-12,72000,Matched
1010,2024-01-12,86000,Matched
1011,2024-01-13,49000,Matched
1012,2024-01-14,55000,Matched
1013,2024-01-16,61000,Matched
1014,2024-01-16,77000,Matched
1015,2024-01-18,83000,Matched
1016,2024-01-19,52000,Unmatched
1017,2024-01-20,69000,Matched
1018,2024-01-21,74000,Matched
1019,2024-01-21,91000,Matched
1020,2024-01-22,47000,Matched
1021,2024-01-24,56000,Matched
1022,2024-01-25,68000,Matched
1023,2024-01-26,72000,Unmatched
1024,2024-01-26,85000,Matched
1025,2024-01-27,60000,Matched
1026,2024-01-28,92000,Matched
1027,2024-01-29,48000,Matched
1028,2024-01-30,53000,Matched
1029,2024-01-31,76000,Matched
1030,2024-02-01,89000,Matched
